Date,Close_^NSEI,High_^NSEI,Low_^NSEI,Open_^NSEI,Volume_^NSEI,Ticker,Return,Return_5D,Volatility_5,Volatility_20,Return_Lag1,Return_Lag2,Volatility_Lag1,MA_20,MA_50,Momentum,MA_Ratio,RSI,Volume_Change,Drawdown,Sentiment_Score,Market_Behavior,Target_Behavior
2014-03-14,6504.2001953125,6518.4501953125,6432.7001953125,6447.25,177300,^NSEI,0.0017095220294318647,-0.003439698370091504,0.00283608816462898,0.00835325943338264,-0.0036520132339212807,0.000767825070253414,0.008344029971124083,6290.8650390625,6219.46302734375,71.40201171875015,1.011480414210171,81.24721100792205,0.055985705777248373,-0.0050556127863398215,0.0,Stable,Stable
2014-03-18,6516.64990234375,6574.9501953125,6497.64990234375,6532.4501953125,179300,^NSEI,0.0019141026809448292,-0.0031511870673830433,0.0028974311182516843,0.00735097401929936,0.0017095220294318647,-0.0036520132339212807,0.00835325943338264,6316.642529296875,6225.37302734375,91.26950195312475,1.01466088884188,80.61498970705817,0.011280315848843703,-0.003151187067383074,0.0,Stable,Stable
2014-03-19,6524.0498046875,6541.2001953125,6506.0,6530.0,172500,^NSEI,0.0011355378077144707,0.001865799924132272,0.0022967014928130676,0.007325939445272469,0.0019141026809448292,0.0017095220294318647,0.00735097401929936,6340.427514648438,6231.631025390625,108.79648925781294,1.0174587501754395,80.37690968121166,-0.03792526491912995,-0.002019227551722819,0.0,Stable,High Volatility
2014-03-20,6483.10009765625,6523.64990234375,6473.25,6508.35009765625,142000,^NSEI,-0.00627673121100758,-0.00518648516840714,0.0037170331129604476,0.007320941177371917,0.0011355378077144707,0.0019141026809448292,0.007325939445272469,6358.227514648437,6237.4640234375,120.76349121093699,1.0193609920245092,72.81050567017688,-0.1768115942028986,-0.008283284614134384,0.0,High Volatility,Stable
2014-03-21,6493.2001953125,6522.89990234375,6485.7001953125,6515.2001953125,189900,^NSEI,0.0015579117249633345,1.541600387255926e-05,0.0035249049235770266,0.007319342305706036,-0.00627673121100758,0.0011355378077144707,0.007320941177371917,6375.250024414063,6244.08302734375,131.1669970703133,1.0210066068141492,71.30755078633176,0.33732394366197194,-0.006738277515392558,0.0,Stable,Panic
2014-03-24,6583.5,6591.5,6510.5,6510.5,158400,^NSEI,0.013906825905766418,0.012192091618682177,0.007249577319168625,0.007084435964330858,0.0015579117249633345,-0.00627673121100758,0.007319342305706036,6399.852514648437,6252.261025390625,147.5914892578121,1.0236060984431774,83.38409006182656,-0.16587677725118488,0.0,0.0,Panic,Stable
2014-03-25,6589.75,6595.5498046875,6544.85009765625,6550.10009765625,168100,^NSEI,0.0009493430546061443,0.011217435147154342,0.007280098749753685,0.006937240169927382,0.013906825905766418,0.0015579117249633345,0.007084435964330858,6421.5675048828125,6260.6890234375,160.8784814453129,1.0256966095653448,80.91106021389245,0.0612373737373737,0.0,0.0,Stable,Stable
2014-03-26,6601.39990234375,6627.4501953125,6580.60009765625,6615.64990234375,186600,^NSEI,0.0017678822935240923,0.011856147634046854,0.007261267137372436,0.006936839166740447,0.0009493430546061443,0.013906825905766418,0.006937240169927382,6442.332495117187,6269.288017578125,173.04447753906243,1.0276019345504421,80.10823164158509,0.11005353955978592,0.0,0.0,Stable,Panic
2014-03-27,6641.75,6673.9501953125,6599.5,6613.10009765625,312400,^NSEI,0.0061123546903929515,0.024471302301981135,0.005458288683585107,0.006960516321544317,0.0017678822935240923,0.0009493430546061443,0.006936839166740447,6464.417504882813,6276.668017578125,187.74948730468805,1.0299122857507974,78.58846108770395,0.6741693461950697,0.0,0.0,Panic,Panic
2014-03-28,6695.89990234375,6702.60009765625,6643.7998046875,6673.0498046875,184800,^NSEI,0.00815295702845642,0.031217227396989955,0.005254224633782709,0.0070133291140188556,0.0061123546903929515,0.0017678822935240923,0.006960516321544317,6487.272509765625,6285.749013671875,201.5234960937496,1.0320603790662695,74.21668026693793,-0.4084507042253521,0.0,0.0,Panic,Stable
2014-03-31,6704.2001953125,6730.0498046875,6662.39990234375,6723.14990234375,220600,^NSEI,0.001239608281157878,0.018333742737525638,0.0032781687220571907,0.007004750333655728,0.00815295702845642,0.0061123546903929515,0.0070133291140188556,6508.635009765625,6293.41501953125,215.21999023437456,1.0341976477900237,74.04587024341666,0.19372294372294374,0.0,0.0,Stable,Stable
2014-04-01,6721.0498046875,6732.25,6675.4501953125,6729.5,177800,^NSEI,0.0025132915014651758,0.019924853702720124,0.0030212727989191177,0.006401199128669067,0.001239608281157878,0.00815295702845642,0.007004750333655728,6533.614990234375,6301.458017578125,232.15697265625022,1.0368417867751623,80.88004810014519,-0.19401631912964645,0.0,0.0,Stable,Panic
2014-04-02,6752.5498046875,6763.5,6723.60009765625,6757.60009765625,173300,^NSEI,0.004686767828744776,0.02289664383005885,0.0027634863141744125,0.006093958620572319,0.0025132915014651758,0.001239608281157878,0.006401199128669067,6556.344970703125,6311.276015625,245.06895507812533,1.0388303339089278,82.26764283087621,-0.0253093363329584,0.0,0.0,Panic,Stable
2014-04-03,6736.10009765625,6776.75,6696.89990234375,6772.0498046875,197500,^NSEI,-0.0024360734103480164,0.014205608108743828,0.003941529809874399,0.0062255342180352335,0.004686767828744776,0.0025132915014651758,0.006093958620572319,6576.71748046875,6319.919013671875,256.7984667968749,1.040633189482546,83.95762938540227,0.1396422388920946,-0.00243607341034803,0.0,Stable,High Volatility
2014-04-04,6694.35009765625,6741.85009765625,6685.14990234375,6741.85009765625,155100,^NSEI,-0.0061979482778954376,-0.00023145577295102804,0.004305825047457268,0.006236355176873055,-0.0024360734103480164,0.004686767828744776,0.0062255342180352335,6591.377490234375,6327.53001953125,263.8474707031246,1.0416983356678995,74.47554689061434,-0.21468354430379744,-0.008618923031244997,0.0,High Volatility,Stable
2014-04-07,6695.0498046875,6725.14990234375,6650.39990234375,6694.25,133900,^NSEI,0.00010452202544564138,-0.0013648743113903183,0.00425114354915789,0.004722339517538796,-0.0061979482778954376,-0.0024360734103480164,0.006236355176873055,6599.7974853515625,6334.65201171875,265.14547363281235,1.0418563597719825,73.67938725487019,-0.13668600902643457,-0.008515301873091631,0.0,Stable,Panic
